ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,label
510050.SH,20050223,0.887,0.881,0.882,0.866,0.876,-0.011,-1.2401,12697425.42,1111793.167,False
510050.SH,20050224,0.876,0.876,0.876,0.868,0.876,0.0,0.0,4516142.23,394141.216,True
510050.SH,20050225,0.876,0.877,0.887,0.875,0.88,0.004,0.4566,5064606.95,446597.972,True
510050.SH,20050228,0.88,0.878,0.879,0.87,0.872,-0.008,-0.9091,1879651.93,164467.462,False
510050.SH,20050301,0.872,0.87,0.873,0.865,0.867,-0.005,-0.5734,2080944.56,180573.596,False
510050.SH,20050302,0.867,0.867,0.874,0.857,0.859,-0.008,-0.9227,2492746.43,215572.195,False
510050.SH,20050303,0.859,0.858,0.861,0.854,0.859,0.0,0.0,1001532.2,85830.28,True
510050.SH,20050304,0.859,0.859,0.865,0.857,0.86,0.001,0.1164,1298001.89,111715.108,True
510050.SH,20050307,0.86,0.86,0.865,0.86,0.862,0.002,0.2326,1167896.45,100713.45,True
510050.SH,20050308,0.862,0.864,0.875,0.863,0.874,0.012,1.3921,2985053.87,259486.071,True
510050.SH,20050309,0.874,0.874,0.878,0.869,0.873,-0.001,-0.1144,2000063.04,174863.933,False
510050.SH,20050310,0.873,0.872,0.872,0.852,0.853,-0.02,-2.291,3338597.48,287003.28,False
510050.SH,20050311,0.853,0.853,0.856,0.85,0.855,0.002,0.2345,1323445.47,112888.757,True
510050.SH,20050314,0.855,0.855,0.864,0.845,0.857,0.002,0.2339,2335094.99,199760.619,True
510050.SH,20050315,0.857,0.856,0.856,0.842,0.843,-0.014,-1.6336,2829616.31,239546.928,False
510050.SH,20050316,0.843,0.841,0.843,0.832,0.834,-0.009,-1.0676,2194449.91,183701.63,False
510050.SH,20050317,0.834,0.834,0.837,0.827,0.828,-0.006,-0.7194,1300625.34,108082.309,False
510050.SH,20050318,0.828,0.828,0.832,0.821,0.824,-0.004,-0.4831,2277922.57,188092.685,False
510050.SH,20050321,0.824,0.824,0.826,0.821,0.824,0.0,0.0,1032730.02,85036.479,True
510050.SH,20050322,0.824,0.824,0.825,0.807,0.808,-0.016,-1.9417,1622940.82,131858.193,False
510050.SH,20050323,0.808,0.807,0.811,0.8,0.804,-0.004,-0.495,1452955.1,117013.259,False
510050.SH,20050324,0.804,0.802,0.807,0.797,0.806,0.002,0.2488,1183880.57,94998.083,True
510050.SH,20050325,0.806,0.806,0.809,0.802,0.805,-0.001,-0.1241,1082233.65,87190.626,False
510050.SH,20050328,0.805,0.803,0.805,0.797,0.802,-0.003,-0.3727,712663.2,57019.414,False
510050.SH,20050329,0.802,0.802,0.811,0.802,0.805,0.003,0.3741,1440180.3,116246.835,True
510050.SH,20050330,0.805,0.804,0.804,0.791,0.793,-0.012,-1.4907,1926594.45,153413.202,False
510050.SH,20050331,0.793,0.792,0.795,0.786,0.794,0.001,0.1261,1287382.77,101747.478,True
510050.SH,20050401,0.794,0.793,0.834,0.79,0.829,0.035,4.4081,5023906.01,409666.114,True
510050.SH,20050404,0.829,0.814,0.818,0.804,0.81,-0.019,-2.2919,2329915.58,188905.456,False
510050.SH,20050405,0.81,0.808,0.813,0.802,0.805,-0.005,-0.6173,1295870.51,104559.653,False
510050.SH,20050406,0.805,0.802,0.825,0.799,0.818,0.013,1.6149,2613610.39,212119.445,True
510050.SH,20050407,0.818,0.818,0.839,0.815,0.824,0.006,0.7335,3634517.93,301938.686,True
510050.SH,20050408,0.824,0.824,0.836,0.819,0.836,0.012,1.4563,2432582.74,201477.22,True
510050.SH,20050411,0.836,0.833,0.841,0.827,0.83,-0.006,-0.7177,1632058.41,135974.256,False
510050.SH,20050412,0.83,0.83,0.832,0.82,0.821,-0.009,-1.0843,2114897.93,174409.112,False
510050.SH,20050413,0.821,0.831,0.842,0.83,0.84,0.019,2.3143,4037055.35,337790.234,True
510050.SH,20050414,0.84,0.84,0.841,0.828,0.828,-0.012,-1.4286,2077160.78,173240.368,False
510050.SH,20050415,0.828,0.827,0.827,0.817,0.818,-0.01,-1.2077,2803011.12,230119.725,False
510050.SH,20050418,0.818,0.815,0.819,0.805,0.808,-0.01,-1.2225,1651911.31,133944.475,False
510050.SH,20050419,0.808,0.808,0.812,0.804,0.811,0.003,0.3713,814256.78,65792.238,True
510050.SH,20050420,0.811,0.81,0.81,0.796,0.797,-0.014,-1.7263,2184902.95,174772.102,False
510050.SH,20050421,0.797,0.798,0.804,0.793,0.797,0.0,0.0,2385393.71,190472.801,False
510050.SH,20050422,0.797,0.799,0.802,0.795,0.798,0.001,0.1255,2467110.82,196930.0,False
510050.SH,20050425,0.798,0.797,0.797,0.786,0.79,-0.008,-1.0025,3168918.03,250442.307,False
510050.SH,20050426,0.79,0.79,0.796,0.788,0.793,0.003,0.3797,2272327.16,179953.915,True
510050.SH,20050427,0.793,0.796,0.796,0.787,0.788,-0.005,-0.6305,2235970.26,176930.957,False
510050.SH,20050428,0.788,0.787,0.798,0.783,0.797,0.009,1.1421,3103258.39,245322.577,True
510050.SH,20050429,0.797,0.795,0.798,0.785,0.788,-0.009,-1.1292,2258640.67,179141.487,False
510050.SH,20050509,0.788,0.8,0.801,0.779,0.78,-0.008,-1.0152,3347309.97,263073.126,False
510050.SH,20050510,0.78,0.78,0.785,0.77,0.783,0.003,0.3846,3161237.81,245236.858,True
510050.SH,20050511,0.783,0.782,0.784,0.776,0.777,-0.006,-0.7663,2124927.75,165612.893,False
510050.SH,20050512,0.777,0.775,0.777,0.759,0.76,-0.017,-2.1879,2692804.31,206669.53,False
510050.SH,20050513,0.76,0.758,0.769,0.755,0.762,0.002,0.2632,1967271.42,149807.953,True
510050.SH,20050516,0.762,0.762,0.762,0.747,0.75,-0.012,-1.5748,1481448.25,111490.042,False
510050.SH,20050517,0.75,0.75,0.76,0.746,0.754,0.004,0.5333,1184261.7,89362.441,True
510050.SH,20050518,0.754,0.752,0.761,0.747,0.755,0.001,0.1326,1444553.14,108860.183,True
510050.SH,20050519,0.755,0.754,0.759,0.746,0.755,0.0,0.0,1498215.63,112607.242,True
510050.SH,20050520,0.755,0.754,0.76,0.752,0.757,0.002,0.2649,1476985.07,111791.41,True
510050.SH,20050523,0.757,0.753,0.753,0.742,0.743,-0.014,-1.8494,2472999.69,184723.307,False
510050.SH,20050524,0.743,0.741,0.744,0.733,0.741,-0.002,-0.2692,2452401.6,181493.672,True
510050.SH,20050525,0.741,0.74,0.749,0.737,0.743,0.002,0.2699,1555312.16,115554.585,True
510050.SH,20050526,0.743,0.743,0.746,0.734,0.736,-0.007,-0.9421,1244115.89,92004.06,False
510050.SH,20050527,0.736,0.735,0.739,0.728,0.73,-0.006,-0.8152,1950855.85,143076.64,False
510050.SH,20050530,0.73,0.727,0.739,0.722,0.736,0.006,0.8219,2206356.64,161242.196,True
510050.SH,20050531,0.736,0.736,0.742,0.733,0.738,0.002,0.2717,1710550.59,126332.693,True
510050.SH,20050601,0.738,0.736,0.739,0.724,0.726,-0.012,-1.626,1554608.71,113509.625,False
510050.SH,20050602,0.726,0.724,0.725,0.704,0.707,-0.019,-2.6171,3607568.8,257614.194,False
510050.SH,20050603,0.707,0.708,0.71,0.7,0.705,-0.002,-0.2829,2799639.36,197185.637,False
